subject,relation,object
"Schizophrenia, Bipolar disorder, Delusional disorder",available in language,"English, Hindi, Tamil, Kannada"
Disorganized thinking,indicates,"Schizophrenia, Bipolar disorder (mania), Stroke"
"Schizophrenia, Bipolar disorder (mania), Stroke",has severity,Severe
"Schizophrenia, Bipolar disorder (mania), Stroke",lasts for,30 days
"Schizophrenia, Bipolar disorder (mania), Stroke",common in,Pan-India
"Schizophrenia, Bipolar disorder (mania), Stroke",available in language,"English, Hindi, Bengali, Marathi"
Lack of motivation,indicates,"Depression, Schizophrenia (negative symptoms), Chronic fatigue syndrome"
"Depression, Schizophrenia (negative symptoms), Chronic fatigue syndrome",has severity,Moderate
"Depression, Schizophrenia (negative symptoms), Chronic fatigue syndrome",lasts for,60 days
"Depression, Schizophrenia (negative symptoms), Chronic fatigue syndrome",common in,Pan-India
"Depression, Schizophrenia (negative symptoms), Chronic fatigue syndrome",available in language,"English, Hindi, Tamil, Telugu"
Poor hygiene,indicates,"Depression, Schizophrenia, Dementia"
"Depression, Schizophrenia, Dementia",has severity,Moderate
"Depression, Schizophrenia, Dementia",lasts for,30 days
"Depression, Schizophrenia, Dementia",common in,Pan-India
"Depression, Schizophrenia, Dementia",available in language,"English, Hindi, Bengali, Malayalam"
Impulsive behavior,indicates,"ADHD, Bipolar disorder (mania), Substance abuse"
"ADHD, Bipolar disorder (mania), Substance abuse",has severity,Moderate
"ADHD, Bipolar disorder (mania), Substance abuse",lasts for,14 days
"ADHD, Bipolar disorder (mania), Substance abuse",common in,Urban India
"ADHD, Bipolar disorder (mania), Substance abuse",available in language,"English, Hindi, Tamil, Kannada"
Risky behavior,indicates,"Bipolar disorder (mania), Substance abuse, Personality disorder"
"Bipolar disorder (mania), Substance abuse, Personality disorder",has severity,Severe
"Bipolar disorder (mania), Substance abuse, Personality disorder",lasts for,30 days
"Bipolar disorder (mania), Substance abuse, Personality disorder",common in,Pan-India
"Bipolar disorder (mania), Substance abuse, Personality disorder",available in language,"English, Hindi, Bengali, Marathi"
Substance craving,indicates,"Substance use disorder, Addiction, Withdrawal"
"Substance use disorder, Addiction, Withdrawal",has severity,Severe
"Substance use disorder, Addiction, Withdrawal",lasts for,7 days
"Substance use disorder, Addiction, Withdrawal",common in,Pan-India
"Substance use disorder, Addiction, Withdrawal",available in language,"English, Hindi, Tamil, Telugu, Punjabi"
Alcohol withdrawal symptoms,indicates,"Delirium tremens, Seizures, Anxiety"
"Delirium tremens, Seizures, Anxiety",has severity,Severe
"Delirium tremens, Seizures, Anxiety",lasts for,5 days
"Delirium tremens, Seizures, Anxiety",common in,Pan-India
"Delirium tremens, Seizures, Anxiety",available in language,"English, Hindi, Bengali, Malayalam, Punjabi"
Drug withdrawal symptoms,indicates,"Varies by drug (e.g., nausea, insomnia, pain), Addiction"
"Varies by drug (e.g., nausea, insomnia, pain), Addiction",has severity,Severe
"Varies by drug (e.g., nausea, insomnia, pain), Addiction",lasts for,10 days
"Varies by drug (e.g., nausea, insomnia, pain), Addiction",common in,Pan-India
"Varies by drug (e.g., nausea, insomnia, pain), Addiction",available in language,"English, Hindi, Tamil, Kannada, Punjabi"
Increased sensitivity to cold,indicates,"Hypothyroidism, Anemia, Raynaud's disease"
"Hypothyroidism, Anemia, Raynaud's disease",has severity,Mild
"Hypothyroidism, Anemia, Raynaud's disease",lasts for,30 days
"Hypothyroidism, Anemia, Raynaud's disease",common in,North India
"Hypothyroidism, Anemia, Raynaud's disease",available in language,"English, Hindi, Punjabi, Urdu"
Increased sensitivity to heat,indicates,"Hyperthyroidism, Multiple sclerosis, Anxiety"
"Hyperthyroidism, Multiple sclerosis, Anxiety",has severity,Mild
"Hyperthyroidism, Multiple sclerosis, Anxiety",lasts for,14 days
"Hyperthyroidism, Multiple sclerosis, Anxiety",common in,Pan-India
"Hyperthyroidism, Multiple sclerosis, Anxiety",available in language,"English, Hindi, Tamil, Bengali"
Heat intolerance,indicates,"Hyperthyroidism, Graves' disease, Menopause"
"Hyperthyroidism, Graves' disease, Menopause",has severity,Moderate
"Hyperthyroidism, Graves' disease, Menopause",lasts for,21 days
"Hyperthyroidism, Graves' disease, Menopause",common in,Pan-India
"Hyperthyroidism, Graves' disease, Menopause",available in language,"English, Hindi, Tamil, Telugu"
Cold intolerance,indicates,"Hypothyroidism, Raynaud's disease, Anemia"
"Hypothyroidism, Raynaud's disease, Anemia",has severity,Moderate
"Hypothyroidism, Raynaud's disease, Anemia",lasts for,30 days
"Hypothyroidism, Raynaud's disease, Anemia",common in,North India
"Hypothyroidism, Raynaud's disease, Anemia",available in language,"English, Hindi, Punjabi, Urdu"
Excessive thirst despite drinking,indicates,"Diabetes mellitus, Diabetes insipidus, Kidney disease"
"Diabetes mellitus, Diabetes insipidus, Kidney disease",has severity,Moderate
"Diabetes mellitus, Diabetes insipidus, Kidney disease",lasts for,7 days
"Diabetes mellitus, Diabetes insipidus, Kidney disease",common in,Pan-India
"Diabetes mellitus, Diabetes insipidus, Kidney disease",available in language,"English, Hindi, Tamil, Kannada"
Frequent urination at night (Nocturia),indicates,"Diabetes, Prostate enlargement, Heart failure"
"Diabetes, Prostate enlargement, Heart failure",has severity,Moderate
"Diabetes, Prostate enlargement, Heart failure",lasts for,21 days
"Diabetes, Prostate enlargement, Heart failure",common in,Pan-India
"Diabetes, Prostate enlargement, Heart failure",available in language,"English, Hindi, Bengali, Marathi"
Urinary incontinence,indicates,"Overactive bladder, Stress incontinence, Urinary tract infection"
"Overactive bladder, Stress incontinence, Urinary tract infection",has severity,Moderate
"Overactive bladder, Stress incontinence, Urinary tract infection",lasts for,14 days
"Overactive bladder, Stress incontinence, Urinary tract infection",common in,Pan-India
"Overactive bladder, Stress incontinence, Urinary tract infection",available in language,"English, Hindi, Tamil, Telugu"
Urgency to urinate,indicates,"Overactive bladder, Urinary tract infection, Interstitial cystitis"
"Overactive bladder, Urinary tract infection, Interstitial cystitis",has severity,Moderate
"Overactive bladder, Urinary tract infection, Interstitial cystitis",lasts for,7 days
"Overactive bladder, Urinary tract infection, Interstitial cystitis",common in,Pan-India
"Overactive bladder, Urinary tract infection, Interstitial cystitis",available in language,"English, Hindi, Bengali, Malayalam"
Leaking urine when coughing/sneezing,indicates,"Stress incontinence, Weak pelvic floor muscles, Obesity"
"Stress incontinence, Weak pelvic floor muscles, Obesity",has severity,Mild
"Stress incontinence, Weak pelvic floor muscles, Obesity",lasts for,30 days
"Stress incontinence, Weak pelvic floor muscles, Obesity",common in,Pan-India
"Stress incontinence, Weak pelvic floor muscles, Obesity",available in language,"English, Hindi, Tamil, Kannada"
Difficulty starting urination,indicates,"Prostate enlargement (BPH), Urethral stricture, Neurogenic bladder"
"Prostate enlargement (BPH), Urethral stricture, Neurogenic bladder",has severity,Moderate
"Prostate enlargement (BPH), Urethral stricture, Neurogenic bladder",lasts for,14 days
"Prostate enlargement (BPH), Urethral stricture, Neurogenic bladder",common in,Pan-India
"Prostate enlargement (BPH), Urethral stricture, Neurogenic bladder",available in language,"English, Hindi, Bengali, Marathi"
Weak urine stream,indicates,"Prostate enlargement (BPH), Urethral stricture, Bladder muscle weakness"
"Prostate enlargement (BPH), Urethral stricture, Bladder muscle weakness",has severity,Moderate
"Prostate enlargement (BPH), Urethral stricture, Bladder muscle weakness",lasts for,21 days
"Prostate enlargement (BPH), Urethral stricture, Bladder muscle weakness",common in,Pan-India
"Prostate enlargement (BPH), Urethral stricture, Bladder muscle weakness",available in language,"English, Hindi, Tamil, Telugu"
Dribbling after urination,indicates,"Prostate enlargement (BPH), Urethral stricture, Overflow incontinence"
"Prostate enlargement (BPH), Urethral stricture, Overflow incontinence",has severity,Mild
"Prostate enlargement (BPH), Urethral stricture, Overflow incontinence",lasts for,14 days
"Prostate enlargement (BPH), Urethral stricture, Overflow incontinence",common in,Pan-India
"Prostate enlargement (BPH), Urethral stricture, Overflow incontinence",available in language,"English, Hindi, Bengali, Malayalam"
Feeling of incomplete bladder emptying,indicates,"Prostate enlargement (BPH), Urinary retention, Neurogenic bladder"
"Prostate enlargement (BPH), Urinary retention, Neurogenic bladder",has severity,Moderate
"Prostate enlargement (BPH), Urinary retention, Neurogenic bladder",lasts for,14 days
"Prostate enlargement (BPH), Urinary retention, Neurogenic bladder",common in,Pan-India
"Prostate enlargement (BPH), Urinary retention, Neurogenic bladder",available in language,"English, Hindi, Tamil, Kannada"
Cloudy urine,indicates,"Urinary tract infection, Kidney stones, Dehydration"
"Urinary tract infection, Kidney stones, Dehydration",has severity,Mild
"Urinary tract infection, Kidney stones, Dehydration",lasts for,5 days
"Urinary tract infection, Kidney stones, Dehydration",common in,Pan-India
"Urinary tract infection, Kidney stones, Dehydration",available in language,"English, Hindi, Bengali, Marathi"
Foul-smelling urine,indicates,"Urinary tract infection, Dehydration, Certain foods/medications"
"Urinary tract infection, Dehydration, Certain foods/medications",has severity,Mild
"Urinary tract infection, Dehydration, Certain foods/medications",lasts for,5 days
"Urinary tract infection, Dehydration, Certain foods/medications",common in,Pan-India
"Urinary tract infection, Dehydration, Certain foods/medications",available in language,"English, Hindi, Tamil, Telugu"
Pink or cola-colored urine,indicates,"Hematuria (blood in urine), Kidney stones, Urinary tract infection"
"Hematuria (blood in urine), Kidney stones, Urinary tract infection",has severity,Severe
"Hematuria (blood in urine), Kidney stones, Urinary tract infection",lasts for,7 days
"Hematuria (blood in urine), Kidney stones, Urinary tract infection",common in,Pan-India
"Hematuria (blood in urine), Kidney stones, Urinary tract infection",available in language,"English, Hindi, Bengali, Malayalam"
Pain during intercourse (Dyspareunia),indicates,"Vaginitis, Endometriosis, Pelvic inflammatory disease"
"Vaginitis, Endometriosis, Pelvic inflammatory disease",has severity,Moderate
"Vaginitis, Endometriosis, Pelvic inflammatory disease",lasts for,21 days
"Vaginitis, Endometriosis, Pelvic inflammatory disease",common in,Pan-India
"Vaginitis, Endometriosis, Pelvic inflammatory disease",available in language,"English, Hindi, Tamil, Kannada"
Vaginal dryness,indicates,"Menopause, Sjögren's syndrome, Medication side effect"
"Menopause, Sjögren's syndrome, Medication side effect",has severity,Mild
"Menopause, Sjögren's syndrome, Medication side effect",lasts for,30 days
"Menopause, Sjögren's syndrome, Medication side effect",common in,Pan-India
"Menopause, Sjögren's syndrome, Medication side effect",available in language,"English, Hindi, Bengali, Marathi"
Vaginal itching,indicates,"Yeast infection, Bacterial vaginosis, Sexually transmitted infection"
"Yeast infection, Bacterial vaginosis, Sexually transmitted infection",has severity,Moderate
"Yeast infection, Bacterial vaginosis, Sexually transmitted infection",lasts for,7 days
"Yeast infection, Bacterial vaginosis, Sexually transmitted infection",common in,Pan-India
"Yeast infection, Bacterial vaginosis, Sexually transmitted infection",available in language,"English, Hindi, Tamil, Telugu"
Abnormal vaginal odor,indicates,"Bacterial vaginosis, Trichomoniasis, Poor hygiene"
"Bacterial vaginosis, Trichomoniasis, Poor hygiene",has severity,Mild
"Bacterial vaginosis, Trichomoniasis, Poor hygiene",lasts for,7 days
"Bacterial vaginosis, Trichomoniasis, Poor hygiene",common in,Pan-India
"Bacterial vaginosis, Trichomoniasis, Poor hygiene",available in language,"English, Hindi, Bengali, Malayalam"
Painful periods (Dysmenorrhea),indicates,"Endometriosis, Uterine fibroids, Adenomyosis"
"Endometriosis, Uterine fibroids, Adenomyosis",has severity,Moderate
"Endometriosis, Uterine fibroids, Adenomyosis",lasts for,5 days
"Endometriosis, Uterine fibroids, Adenomyosis",common in,Pan-India
"Endometriosis, Uterine fibroids, Adenomyosis",available in language,"English, Hindi, Tamil, Kannada"
Heavy menstrual bleeding,indicates,"Uterine fibroids, Adenomyosis, Bleeding disorders"
"Uterine fibroids, Adenomyosis, Bleeding disorders",has severity,Severe
"Uterine fibroids, Adenomyosis, Bleeding disorders",lasts for,7 days
"Uterine fibroids, Adenomyosis, Bleeding disorders",common in,Pan-India
"Uterine fibroids, Adenomyosis, Bleeding disorders",available in language,"English, Hindi, Bengali, Marathi"
Irregular periods,indicates,"Polycystic ovary syndrome (PCOS), Thyroid disorders, Stress"
"Polycystic ovary syndrome (PCOS), Thyroid disorders, Stress",has severity,Moderate
"Polycystic ovary syndrome (PCOS), Thyroid disorders, Stress",lasts for,60 days
"Polycystic ovary syndrome (PCOS), Thyroid disorders, Stress",common in,Pan-India
"Polycystic ovary syndrome (PCOS), Thyroid disorders, Stress",available in language,"English, Hindi, Tamil, Telugu"
Bleeding between periods,indicates,"Hormonal imbalance, Uterine polyps, Cervical issues"
"Hormonal imbalance, Uterine polyps, Cervical issues",has severity,Moderate
"Hormonal imbalance, Uterine polyps, Cervical issues",lasts for,7 days
"Hormonal imbalance, Uterine polyps, Cervical issues",common in,Pan-India
"Hormonal imbalance, Uterine polyps, Cervical issues",available in language,"English, Hindi, Bengali, Malayalam"
Bleeding after menopause,indicates,"Endometrial cancer, Vaginal atrophy, Uterine polyps"
"Endometrial cancer, Vaginal atrophy, Uterine polyps",has severity,Severe
"Endometrial cancer, Vaginal atrophy, Uterine polyps",lasts for,7 days
"Endometrial cancer, Vaginal atrophy, Uterine polyps",common in,Pan-India
"Endometrial cancer, Vaginal atrophy, Uterine polyps",available in language,"English, Hindi, Tamil, Kannada"
Breast pain,indicates,"Fibrocystic changes, Mastitis, Menstrual cycle changes"
"Fibrocystic changes, Mastitis, Menstrual cycle changes",has severity,Mild
"Fibrocystic changes, Mastitis, Menstrual cycle changes",lasts for,7 days
"Fibrocystic changes, Mastitis, Menstrual cycle changes",common in,Pan-India
"Fibrocystic changes, Mastitis, Menstrual cycle changes",available in language,"English, Hindi, Bengali, Marathi"
Nipple discharge,indicates,"Prolactinoma, Duct ectasia, Breast cancer"
"Prolactinoma, Duct ectasia, Breast cancer",has severity,Moderate
